S.no,Stock ID,Ticker ID
1,NTPC,NTPC.NS
2,Power Grid Corporation,POWERGRID.NS
3,Adani ports and SEZ,ADANIPORTS.NS
4,Larsen and Toubro,LT.NS
5,Indian Oil Corporation,IOC.NS
6,ONGC,ONGC.NS
7,HPCL,HINDPETRO.NS
8,BPCL,BPCL.NS
9,Shipping Corporation of India,SCI.NS
10,Container Corporation of India,CONCOR.NS
11,ITC,ITC.NS
12,Tata consumer Products,TATACONSUM.NS
13,Dabur,DABUR.NS
14,Godrej Consumer,GODREJCP.NS
15,ICICI Lombard,ICICIGI.NS
16,HDFC Life,HDFCLIFE.NS
17,SBI Life,SBILIFE.NS
18,Bajaj Finance,BAJFINANCE.NS
19,NALCO,NATIONALUM.NS
20,Haldia Petrochemicals,Unlisted
21,Vizag Steels,Unlisted
22,Visa Steels,VISASTEEL.NS